Pokemon,Move,Type,Category,Accuracy,Power
Bulbasaur,Growl,Normal,,—,100
Bulbasaur,Tackle,Normal,,35,95
Bulbasaur,Leech Seed,Grass,,—,90
Bulbasaur,Vine Whip,Grass,,35,100
Bulbasaur,Poison Powder,Poison,,—,75
Bulbasaur,Razor Leaf,Grass,,55,95
Bulbasaur,Growth,Normal,,—,—
Bulbasaur,Sleep Powder,Grass,,—,75
Bulbasaur,Solar Beam,Grass,,120,100
Bulbasaur,Cut,Normal,,50,95
Bulbasaur,Swords Dance,Normal,,—,—
Bulbasaur,Toxic,Poison,,—,85
Bulbasaur,Body Slam,Normal,,85,100
Bulbasaur,Take Down,Normal,,90,85
Bulbasaur,Double-Edge,Normal,,100,100
Bulbasaur,Rage,Normal,,20,100
Bulbasaur,Mega Drain,Grass,,40,100
Bulbasaur,Mimic,Normal,,—,100
Bulbasaur,Double Team,Normal,,—,—
Bulbasaur,Reflect,Psychic,,—,—
Bulbasaur,Bide,Normal,,—,—
Bulbasaur,Rest,Psychic,,—,—
Bulbasaur,Substitute,Normal,,—,—
Ivysaur,Growl,Normal,,—,100
Ivysaur,Leech Seed,Grass,,—,90
Ivysaur,Tackle,Normal,,35,95
Ivysaur,Vine Whip,Grass,,35,100
Ivysaur,Poison Powder,Poison,,—,75
Ivysaur,Razor Leaf,Grass,,55,95
Ivysaur,Growth,Normal,,—,—
Ivysaur,Sleep Powder,Grass,,—,75
Ivysaur,Solar Beam,Grass,,120,100
Ivysaur,Cut,Normal,,50,95
Ivysaur,Swords Dance,Normal,,—,—
Ivysaur,Toxic,Poison,,—,85
Ivysaur,Body Slam,Normal,,85,100
Ivysaur,Take Down,Normal,,90,85
Ivysaur,Double-Edge,Normal,,100,100
Ivysaur,Rage,Normal,,20,100
Ivysaur,Mega Drain,Grass,,40,100
Ivysaur,Mimic,Normal,,—,100
Ivysaur,Double Team,Normal,,—,—
Ivysaur,Reflect,Psychic,,—,—
Ivysaur,Bide,Normal,,—,—
Ivysaur,Rest,Psychic,,—,—
Ivysaur,Substitute,Normal,,—,—
Venusaur,Growl,Normal,,—,100
Venusaur,Leech Seed,Grass,,—,90
Venusaur,Tackle,Normal,,35,95
Venusaur,Vine Whip,Grass,,35,100
Venusaur,Poison Powder,Poison,,—,75
Venusaur,Razor Leaf,Grass,,55,95
Venusaur,Growth,Normal,,—,—
Venusaur,Sleep Powder,Grass,,—,75
Venusaur,Solar Beam,Grass,,120,100
Venusaur,Cut,Normal,,50,95
Venusaur,Swords Dance,Normal,,—,—
Venusaur,Toxic,Poison,,—,85
Venusaur,Body Slam,Normal,,85,100
Venusaur,Take Down,Normal,,90,85
